Module,Test Type,P0 issues Open,P0 issues closed,P1 Issues Open,P1 Issues Closed,Rest Issues Open,Rest Issues Closed,Bug Titles,Test Cases
Inbox,"Functional,Regression,Integration","2","1","3","2","1","1","Login failure in Inbox module,Email sync delay issues,Message display error,Resolved: Attachment upload fixed,Resolved: Search functionality working,Resolved: Notification system fixed,UI responsiveness issues","TC_001: Login validation,TC_002: Email sync test,TC_003: Message display check,TC_004: Attachment handling,TC_005: Search functionality,TC_006: Notification system"
Builder - NLP,"Functional,Performance,Security","1","2","2","1","2","0","NLP model response delay,Resolved: Intent recognition accuracy improved,Resolved: Entity extraction fixed,Language processing error,Memory leak in processing,Token limit exceeded","TC_007: Response time check,TC_008: Intent accuracy test,TC_009: Entity extraction validation,TC_010: Language processing test"
Builder - gen ai,"Functional,Integration,Performance","2","1","1","2","1","1","AI model integration failure,Resolved: Response generation fixed,Context understanding error,Resolved: Model training completed,API connection timeout,Resolved: Data processing optimized","TC_011: Model integration test,TC_012: Response validation,TC_013: Context processing,TC_014: Training verification,TC_015: API connection test"
Unifield KB,"Functional,Regression,Security","1","1","2","1","1","1","Knowledge base sync error,Resolved: Search indexing fixed,Content update failure,Resolved: Access control implemented,Data validation error,Resolved: Cache management optimized","TC_016: Sync validation,TC_017: Search functionality,TC_018: Content update test,TC_019: Access control check,TC_020: Data validation"
Engage,"Functional,Performance,Integration","1","1","1","1","1","0","Campaign creation delay,Resolved: Template system fixed,Message delivery error,Resolved: Analytics tracking implemented,Performance bottleneck","TC_021: Campaign creation,TC_022: Template system,TC_023: Message delivery"
Integrations,"Functional,Integration,Security","2","1","1","1","1","0","API authentication failure,Resolved: Webhook system fixed,Third-party sync error,Resolved: Rate limiting implemented,Connection timeout","TC_024: API authentication,TC_025: Webhook validation,TC_026: Sync testing,TC_027: Rate limit check"
Voice,"Functional,Performance,Integration","1","1","2","1","1","0","Call quality issues,Resolved: Voice recognition fixed,Transcription error,Resolved: Noise reduction implemented,Connection stability issues","TC_028: Call quality test,TC_029: Voice recognition,TC_030: Transcription check,TC_031: Noise handling,TC_032: Connection test"
Channels,"Functional,Integration,Performance","1","0","1","1","1","0","Channel connection failure,Resolved: Message routing fixed,Integration error,Performance degradation","TC_033: Connection test,TC_034: Routing validation,TC_035: Integration check"
Analyze,"Functional,Performance,Security","2","1","1","1","1","0","Dashboard loading delay,Resolved: Data visualization fixed,Report generation error,Resolved: Export functionality implemented,Memory usage spike","TC_036: Dashboard performance,TC_037: Visualization test,TC_038: Report generation,TC_039: Export validation"
Analytics(DA+UDP+CDP),"Functional,Performance,Security","1","1","2","1","1","1","Data processing delay,Resolved: Real-time updates fixed,Analytics calculation error,Resolved: Data pipeline optimized,Storage optimization needed,Resolved: Cache system improved","TC_040: Processing speed,TC_041: Real-time updates,TC_042: Calculation accuracy,TC_043: Pipeline efficiency,TC_044: Storage check,TC_045: Cache validation" 